"","simFolder","simName","simFile","simInfo","simDate","scenario","mp","tMP","nT","nReps","rank","group"
"1","sim_mseRBat1","sim_mseRBat1","sim_mseRBat1.Rdata","sim_mseRBat1.info","mseRBat1","Curr","Curr",65,84,100,1,1
"2","sim_mseRBat2","sim_mseRBat2","sim_mseRBat2.Rdata","sim_mseRBat2.info","mseRBat2","Curr","Hist",65,84,100,1,1
"3","sim_mseRBat3","sim_mseRBat3","sim_mseRBat3.Rdata","sim_mseRBat3.info","mseRBat3","Curr","ccRule",65,84,100,1,1
"4","sim_mseRBat4","sim_mseRBat4","sim_mseRBat4.Rdata","sim_mseRBat4.info","mseRBat4","Hist","Curr",65,84,100,1,1
"5","sim_mseRBat5","sim_mseRBat5","sim_mseRBat5.Rdata","sim_mseRBat5.info","mseRBat5","Hist","Hist",65,84,100,1,1
"6","sim_mseRBat6","sim_mseRBat6","sim_mseRBat6.Rdata","sim_mseRBat6.info","mseRBat6","Hist","ccRule",65,84,100,1,1
"7","","","","Invalid","","","",0,0,0,0,0
"8","","","","Invalid","","","",0,0,0,0,0
"9","","","","Invalid","","","",0,0,0,0,0
"10","","","","Invalid","","","",0,0,0,0,0
"11","","","","Invalid","","","",0,0,0,0,0
"12","","","","Invalid","","","",0,0,0,0,0
"13","","","","Invalid","","","",0,0,0,0,0
"14","","","","Invalid","","","",0,0,0,0,0
"15","","","","Invalid","","","",0,0,0,0,0
"16","","","","Invalid","","","",0,0,0,0,0
"17","","","","Invalid","","","",0,0,0,0,0
"18","","","","Invalid","","","",0,0,0,0,0
"19","","","","Invalid","","","",0,0,0,0,0
"20","","","","Invalid","","","",0,0,0,0,0
"21","","","","Invalid","","","",0,0,0,0,0
"22","","","","Invalid","","","",0,0,0,0,0
"23","","","","Invalid","","","",0,0,0,0,0
"24","","","","Invalid","","","",0,0,0,0,0
"25","","","","Invalid","","","",0,0,0,0,0
"26","","","","Invalid","","","",0,0,0,0,0
"27","","","","Invalid","","","",0,0,0,0,0
"28","","","","Invalid","","","",0,0,0,0,0
"29","","","","Invalid","","","",0,0,0,0,0
"30","","","","Invalid","","","",0,0,0,0,0
"31","","","","Invalid","","","",0,0,0,0,0
"32","","","","Invalid","","","",0,0,0,0,0
"33","","","","Invalid","","","",0,0,0,0,0
"34","","","","Invalid","","","",0,0,0,0,0
"35","","","","Invalid","","","",0,0,0,0,0
"36","","","","Invalid","","","",0,0,0,0,0
"37","","","","Invalid","","","",0,0,0,0,0
"38","","","","Invalid","","","",0,0,0,0,0
"39","","","","Invalid","","","",0,0,0,0,0
"40","","","","Invalid","","","",0,0,0,0,0
"41","","","","Invalid","","","",0,0,0,0,0
"42","","","","Invalid","","","",0,0,0,0,0
"43","","","","Invalid","","","",0,0,0,0,0
"44","","","","Invalid","","","",0,0,0,0,0
"45","","","","Invalid","","","",0,0,0,0,0
"46","","","","Invalid","","","",0,0,0,0,0
"47","","","","Invalid","","","",0,0,0,0,0
"48","","","","Invalid","","","",0,0,0,0,0
"49","","","","Invalid","","","",0,0,0,0,0
"50","","","","Invalid","","","",0,0,0,0,0
